num_threads,func_id,avg_time,max_time,min_time,imbalance_ratio
2,0,135.420864,136.367053,134.474675,1.39
2,1,354.208411,359.245603,349.171218,2.80
2,55.0,55.0
4,0,67.618460,68.749486,67.235833,2.20
4,1,176.463800,179.644172,173.334360,3.51
4,30.0,30.0
8,0,33.805677,34.968389,33.635657,3.81
8,1,89.304808,92.724332,87.155591,6.01
8,18.0,18.0
16,0,17.092639,18.405805,16.994084,7.67
16,1,46.238504,48.096318,45.201834,6.02
16,12.0,12.0
32,0,13.622741,16.033660,13.162250,17.91
32,1,43.729743,49.432546,38.342879,22.43
32,10.0,10.0
56,0,13.778887,17.800332,9.387469,47.26
56,1,42.686799,52.859857,22.937034,56.61
84,0,16.459408,20.126305,14.238525,29.25
84,1,31.785168,43.142196,22.026720,48.94
112,0,19.664610,22.073081,13.792188,37.52
112,1,33.570771,38.203196,20.721007,45.76
